customer_id,age,gender,income,education,marital_status,children,location,total_purchases,total_spending,avg_order_value,days_since_last_purchase,tenure_months,website_visits,time_on_site_minutes,preferred_category,categories_purchased,email_opens,email_clicks,discount_purchases,returns,support_contacts,loyalty_member
CUST000131,18,M,116444.0,Some College,Single,0,Urban,9,6179.77,686.64,166,15,15,31.1,Toys,3,6,0,5,0,3,1
CUST000132,43,M,36046.0,Bachelor,Divorced,0,Suburban,5,1676.9,335.38,101,12,11,4.3,Clothing,1,6,1,0,0,4,1
CUST000133,26,F,50691.0,Master,Married,2,Suburban,6,3621.16,603.53,121,20,13,22.6,Beauty,2,3,1,0,0,0,1
CUST000134,49,F,40709.0,Bachelor,Single,1,Urban,8,2318.61,289.83,253,22,13,13.1,Books,2,8,1,2,0,1,1
CUST000135,28,F,,Bachelor,Married,2,Urban,5,1989.13,397.83,167,23,14,16.9,Clothing,1,7,2,0,0,7,1
CUST000136,65,M,20000.0,Bachelor,Divorced,3,Urban,5,1100.97,220.19,94,31,13,29.7,Sports,2,3,0,2,0,0,1
CUST000137,30,M,48534.0,Bachelor,Divorced,1,Suburban,3,867.25,289.08,107,22,18,0.5,Home & Garden,1,6,1,1,0,0,0
CUST000138,37,F,46005.0,Bachelor,Single,2,Urban,3,1258.02,419.34,15,10,18,11.3,Food,2,6,0,1,0,2,0
CUST000139,54,F,37339.0,Bachelor,Single,1,Urban,7,2584.33,369.19,63,32,8,20.6,Beauty,2,5,1,1,0,1,1
CUST000140,23,M,138100.0,Bachelor,Single,4,Urban,7,5050.59,721.51,35,16,17,32.4,Electronics,5,8,2,3,0,7,1
CUST000141,45,F,28784.0,Bachelor,Single,3,Rural,4,774.48,193.62,56,17,13,2.1,Sports,3,5,0,1,0,3,1
CUST000142,61,F,77891.0,Bachelor,Married,3,Urban,3,2409.63,803.21,108,14,11,6.3,Beauty,2,3,0,0,0,1,1
CUST000143,18,F,60703.0,High School,Divorced,0,Suburban,6,2438.34,406.39,16,12,14,1.2,Electronics,2,4,1,2,0,4,1
CUST000144,44,M,104496.0,High School,Married,2,Suburban,5,2660.15,532.03,1,12,12,27.0,Food,2,4,1,2,0,3,0
CUST000145,45,F,32849.0,Bachelor,Married,0,Rural,7,2816.96,402.42,50,26,16,29.2,Clothing,1,6,1,1,0,1,1
CUST000146,53,F,31578.0,High School,Married,0,Suburban,7,1037.05,148.15,38,18,11,9.9,Books,1,10,2,3,0,1,1
CUST000147,23,F,94621.0,High School,Married,3,Suburban,9,2930.98,325.66,54,15,12,0.5,Books,1,6,1,1,0,0,0
CUST000148,22,F,63271.0,Master,Single,0,Rural,7,2372.31,338.9,267,31,16,1.6,Food,2,11,2,3,0,1,1
CUST000149,49,F,20000.0,High School,Married,4,Suburban,7,1069.75,152.82,122,22,14,14.7,Food,3,7,0,1,0,1,1
CUST000150,46,F,35469.0,Master,Divorced,0,Urban,4,2309.0,577.25,39,15,7,60.8,Beauty,3,10,3,1,0,1,1
CUST000151,45,M,61810.0,Bachelor,Married,3,Urban,8,1625.0,203.12,19,33,10,27.4,Toys,5,10,2,2,0,2,1
CUST000152,47,F,81036.0,PhD,Single,0,Suburban,4,3920.44,980.11,96,30,13,24.0,Food,1,9,3,1,0,1,0
CUST000153,31,F,32612.0,Bachelor,Single,1,Suburban,5,1193.82,238.76,107,15,15,8.1,,5,6,2,1,0,2,0
CUST000154,45,F,20000.0,Bachelor,Single,0,Suburban,3,1298.47,432.82,66,13,12,63.2,Electronics,2,9,1,1,0,0,1
CUST000155,46,M,67099.0,Bachelor,Married,2,Suburban,8,3640.96,455.12,23,23,8,26.1,Beauty,1,7,2,3,0,2,0
CUST000156,31,M,23571.0,Bachelor,Married,1,Suburban,5,1559.75,311.95,2,14,15,6.1,Home & Garden,5,7,2,1,0,3,1
CUST000157,69,F,20000.0,Bachelor,Single,2,Urban,7,832.44,118.92,30,18,7,20.7,Home & Garden,2,8,2,2,0,2,0
CUST000158,49,F,20000.0,High School,Divorced,0,Suburban,9,1809.01,201.0,61,16,14,8.5,Food,2,8,1,1,0,0,1
CUST000159,24,F,79888.0,Some College,Married,0,Urban,7,2750.82,392.97,155,18,22,16.2,Toys,1,10,3,2,0,5,1
CUST000160,51,F,52953.0,Bachelor,Married,0,Rural,6,2435.8,405.97,192,34,10,52.6,Home & Garden,2,7,2,2,0,1,0
CUST000161,27,F,42813.0,Bachelor,Widowed,1,Suburban,7,2153.42,307.63,53,18,19,4.2,Electronics,5,5,1,1,0,1,0
CUST000162,53,F,112804.0,Master,Single,3,Suburban,4,5979.76,1494.94,159,25,12,23.8,Books,2,11,2,1,0,2,1
CUST000163,59,F,71854.0,Bachelor,Divorced,3,Urban,4,1202.56,300.64,501,19,10,13.4,Books,5,5,1,0,0,2,1
CUST000164,29,F,129285.0,Master,Single,0,Urban,6,6285.76,1047.63,126,18,19,44.9,Sports,2,4,0,2,0,3,0
CUST000165,56,F,21255.0,Bachelor,Married,2,Urban,11,1730.06,157.28,130,10,11,2.2,Toys,1,5,1,1,1,3,0
CUST000166,48,M,48015.0,Master,Divorced,2,Suburban,4,1996.26,499.06,240,7,9,19.1,,1,13,5,1,0,3,1
CUST000167,54,M,20000.0,High School,Divorced,0,Suburban,2,1103.02,551.51,41,12,13,0.6,Clothing,2,9,1,0,0,1,1
CUST000168,70,F,42717.0,Master,Married,1,Urban,6,1739.12,289.85,1,6,12,4.2,Toys,1,6,1,1,0,2,0
CUST000169,38,M,42227.0,Master,Married,1,Suburban,8,1246.8,155.85,434,12,16,5.8,Clothing,3,10,2,1,1,2,1
CUST000170,30,M,71393.0,High School,Married,0,Suburban,2,2475.34,1237.67,67,18,15,8.5,Home & Garden,1,9,0,0,0,4,0
CUST000171,28,M,50379.0,High School,Divorced,0,Urban,6,2947.33,491.22,154,14,20,50.4,Beauty,4,12,4,3,0,1,1
CUST000172,29,M,71256.0,Bachelor,Single,0,Suburban,4,2869.27,717.32,167,6,22,1.0,Beauty,4,8,1,1,0,0,1
CUST000173,40,M,74761.0,Some College,Divorced,2,Suburban,2,1331.66,665.83,50,57,17,2.8,Food,2,9,1,0,0,3,0
CUST000174,47,M,178609.0,Bachelor,Married,0,Suburban,8,5994.93,749.37,77,17,19,3.4,Beauty,3,9,3,1,0,2,0
CUST000175,46,F,40571.0,Bachelor,Married,0,Suburban,5,2848.12,569.62,77,17,8,8.3,Books,4,10,1,1,0,2,1
CUST000176,54,F,27872.0,High School,Married,1,Suburban,7,1350.94,192.99,24,30,6,0.9,Books,3,5,1,2,0,1,0
CUST000177,42,M,56820.0,Bachelor,Married,0,Rural,8,2595.38,324.42,12,28,15,50.5,Toys,2,11,4,4,0,0,1
CUST000178,63,M,30291.0,Bachelor,Divorced,0,Urban,6,2166.12,361.02,78,17,17,12.3,Electronics,2,9,1,2,0,1,1
CUST000179,38,F,119273.0,Some College,Married,3,Suburban,7,2210.49,315.78,12,17,24,25.2,Food,3,7,0,2,0,5,1
CUST000180,82,M,41359.0,Bachelor,Widowed,0,Urban,6,2227.41,371.23,42,38,16,22.2,Electronics,2,11,1,1,0,1,0
CUST000181,51,F,34914.0,Master,Single,2,Urban,7,1733.14,247.59,20,17,17,16.2,Sports,2,5,1,3,0,6,1
CUST000182,29,F,36945.0,Bachelor,Married,1,Urban,5,1563.26,312.65,122,27,13,35.2,Electronics,1,5,1,2,0,3,1
CUST000183,25,F,75436.0,High School,Divorced,2,Urban,10,3177.42,317.74,205,13,13,34.9,Sports,2,9,2,3,1,1,1
CUST000184,49,M,44593.0,Bachelor,Married,2,Rural,4,2420.39,605.1,86,11,11,2.1,Home & Garden,1,9,1,0,0,1,1
CUST000185,38,F,33356.0,Bachelor,Married,0,Rural,6,995.93,165.99,52,22,24,34.8,Home & Garden,2,3,1,1,0,1,1
CUST000186,52,M,133147.0,Some College,Married,3,Urban,8,3591.57,448.95,569,27,12,11.1,Books,2,5,1,3,0,2,0
CUST000187,49,F,29328.0,PhD,Divorced,1,Suburban,4,1347.4,336.85,2,9,10,4.7,Toys,2,9,2,1,0,1,0
CUST000188,40,F,50078.0,High School,Divorced,3,Suburban,6,1375.24,229.21,36,22,7,14.1,Toys,1,13,3,2,0,1,1
CUST000189,29,M,72503.0,High School,Single,1,Suburban,3,2557.88,852.63,32,35,17,4.9,Toys,2,5,1,1,0,1,1
CUST000190,19,M,20000.0,High School,Divorced,4,Suburban,6,1451.61,241.93,44,13,16,9.8,Books,4,7,1,3,0,1,1
CUST000191,35,M,65392.0,Some College,Married,2,Urban,5,949.48,189.9,26,5,13,25.4,Food,2,11,4,1,0,3,1
CUST000192,54,F,26028.0,PhD,Single,4,Suburban,3,637.13,212.38,30,9,14,0.5,Books,1,5,0,0,0,2,1
CUST000193,45,M,,Master,Divorced,1,Suburban,4,3346.25,836.56,29,14,14,3.0,Clothing,2,6,0,0,0,1,1
CUST000194,23,F,27512.0,Bachelor,Married,1,Suburban,5,1742.9,348.58,70,27,15,47.1,Sports,4,8,0,2,0,1,1
CUST000195,44,M,74284.0,Bachelor,Divorced,2,Rural,4,3464.45,866.11,49,23,10,8.8,Beauty,2,7,0,1,0,1,0
CUST000196,47,F,95177.0,Bachelor,Single,3,Rural,6,2097.98,349.66,101,9,19,5.4,Beauty,1,6,1,2,0,2,1
CUST000197,28,F,82195.0,Bachelor,Single,4,Suburban,4,4007.12,1001.78,72,22,18,38.5,Home & Garden,3,9,1,0,0,4,1
CUST000198,44,F,56999.0,Bachelor,Married,1,Suburban,6,2735.7,455.95,20,11,14,36.3,Sports,1,5,0,3,0,2,1
CUST000199,42,F,42668.0,High School,Single,2,Rural,10,2953.81,295.38,166,21,4,0.7,Food,1,3,1,5,1,2,1
CUST000200,24,M,34687.0,High School,Married,0,Urban,5,1059.18,211.84,63,12,14,6.8,Clothing,2,10,3,1,0,0,1
